VFGID,VFID,VFCID
VFG000360,VF0136,VFC0272
VFG000361,VF0136,VFC0272
VFG000362,VF0136,VFC0272
VFG000363,VF0136,VFC0272
VFG000364,VF0136,VFC0272
VFG000365,VF0136,VFC0272
VFG000366,VF0136,VFC0272
VFG000367,VF0136,VFC0272
VFG000368,VF0136,VFC0272
VFG000372,VF0140,VFC0086
VFG000373,VF1021,VFC0086
VFG000374,VF1021,VFC0086
VFG000375,VF1021,VFC0086
VFG000376,VF0140,VFC0086
VFG000377,VF1021,VFC0086
VFG000378,VF0140,VFC0086
VFG000379,VF0140,VFC0086
VFG000380,VF0140,VFC0086
VFG000381,VF0140,VFC0086
VFG000382,VF0140,VFC0086
VFG000383,VF0140,VFC0086
VFG000384,VF0140,VFC0086
VFG000385,VF0140,VFC0086
VFG000386,VF0140,VFC0086
VFG000387,VF0140,VFC0086
VFG000388,VF0140,VFC0086
VFG000389,VF0140,VFC0086
VFG000390,VF0140,VFC0086
VFG000391,VF0140,VFC0086
VFG000392,VF0140,VFC0086
VFG000393,VF0140,VFC0086
VFG000394,VF0140,VFC0086
VFG000395,VF0140,VFC0086
VFG000396,VF0140,VFC0086
VFG000397,VF0140,VFC0086
VFG000398,VF0140,VFC0086
VFG000399,VF0140,VFC0086
VFG000400,VF0140,VFC0086
VFG000401,VF0140,VFC0086
VFG000402,VF0140,VFC0086
VFG000403,VF0140,VFC0086
VFG000404,VF0140,VFC0086
VFG000405,VF0140,VFC0086
VFG000406,VF0140,VFC0086
VFG000407,VF0140,VFC0086
VFG000408,VF0140,VFC0086
VFG000409,VF0140,VFC0086
VFG000410,VF0140,VFC0086
VFG000411,VF0140,VFC0086
VFG000412,VF0140,VFC0086
VFG000413,VF1021,VFC0086
VFG000414,VF1021,VFC0086
VFG000415,VF1021,VFC0086
VFG000416,VF0140,VFC0086
VFG000417,VF0139,VFC0251
VFG000418,VF0138,VFC0258
VFG000419,VF0138,VFC0258
VFG000420,VF0138,VFC0258
VFG000421,VF0138,VFC0258
VFG000422,VF0137,VFC0235
VFG000423,VF0101,VFC0258
VFG000424,VF0101,VFC0258
VFG000425,VF0101,VFC0258
VFG000426,VF0101,VFC0258
VFG000427,VF0101,VFC0258
VFG000428,VF0101,VFC0258
VFG000429,VF0101,VFC0258
VFG000430,VF0101,VFC0258
VFG000431,VF0101,VFC0258
VFG000432,VF0101,VFC0258
VFG000433,VF0104,VFC0001
VFG000434,VF0104,VFC0001
VFG000435,VF0104,VFC0001
VFG000436,VF0104,VFC0001
VFG000437,VF0947,VFC0086
VFG000438,VF0947,VFC0086
VFG000439,VF0107,VFC0235
VFG000442,VF0108,VFC0258
VFG000443,VF0102,VFC0001
VFG000444,VF0102,VFC0001
VFG000445,VF0102,VFC0001
VFG000446,VF0102,VFC0001
VFG000447,VF0102,VFC0001
VFG000448,VF0102,VFC0001
VFG000449,VF0102,VFC0001
VFG000450,VF0102,VFC0001
VFG000451,VF0102,VFC0001
VFG000452,VF0105,VFC0001
VFG000453,VF0105,VFC0001
